Dataset,Vertices,Edges,MaxEigen,Runtime_sec,Memory_MB,AvgDegree,Density,Lambda
verify_complete_7,7,21,1.000000,0.000000,0.00,6.0000,1.000000e+00,6.000000
verify_cycle_6,6,6,1.000000,0.000000,0.00,2.0000,4.000000e-01,2.000000
verify_known_structure,20,35,1.000000,0.000000,0.00,3.5000,1.842105e-01,5.117167
verify_path_5,5,4,1.000000,0.000000,0.00,1.6000,4.000000e-01,1.714286
verify_star_9,9,8,1.000000,0.000000,0.00,1.7778,2.222222e-01,1.777778
er_1000_dense,1000,9865,1.000000,0.001000,0.11,19.7300,1.974975e-02,20.809728
er_1000_sparse,1000,2492,1.000000,0.001000,0.05,4.9840,4.988989e-03,6.146245
er_100_dense,100,1046,1.000000,0.000000,0.01,20.9200,2.113131e-01,21.666653
er_100_sparse,100,253,1.000000,0.000000,0.00,5.0600,5.111111e-02,6.007560
er_10k_dense,10000,49722,1.000000,0.006000,0.68,9.9444,9.945395e-04,11.049819
er_10k_sparse,10000,24850,1.000000,0.006000,0.49,4.9700,4.970497e-04,6.182660
er_500_dense,500,6364,1.000000,0.000000,0.06,25.4560,5.101403e-02,26.524672
er_500_sparse,500,1280,1.000000,0.000000,0.03,5.1200,1.026052e-02,6.257107
er_5k_dense,5000,37714,1.000000,0.003000,0.44,15.0856,3.017724e-03,16.112271
er_5k_sparse,5000,12660,1.000000,0.002000,0.25,5.0640,1.013003e-03,6.280778
ba_1k_m3,1000,2991,1.000000,0.000000,0.05,5.9820,5.987988e-03,13.322593
ba_1k_m5,1000,4975,1.000000,0.000000,0.07,9.9500,9.959960e-03,20.007262
ws_1k_k10_p03,1000,5000,1.000000,0.002000,0.07,10.0000,1.001001e-02,10.293144
ws_1k_k6_p01,1000,3000,1.000000,0.008000,0.05,6.0000,6.006006e-03,6.152549
er_5k_dense,5000,37714,1.000000,0.002000,0.44,15.0856,3.017724e-03,16.112271
er_5k_sparse,5000,12660,1.000000,0.003000,0.25,5.0640,1.013003e-03,6.280778
er_10k_dense,10000,49722,1.000000,0.006000,0.68,9.9444,9.945395e-04,11.049819
er_10k_sparse,10000,24850,1.000000,0.009000,0.49,4.9700,4.970497e-04,6.182660
ba_5k_m3,5000,14991,1.000000,0.005000,0.27,5.9964,1.199520e-03,18.029534
ba_5k_m5,5000,24975,1.000000,0.007000,0.34,9.9900,1.998400e-03,25.736216
ba_10k_m3,10000,29991,1.000000,0.019000,0.53,5.9982,5.998800e-04,21.237243
ws_5k_k6_p01,5000,15000,1.000000,0.016000,0.27,6.0000,1.200240e-03,6.145547
cit-DBLP,12592,49621,1.000000,0.008000,0.76,7.8814,6.259513e-04,42.818686
cit-HepTh,27769,352285,1.000000,0.125000,3.54,25.3725,9.137330e-04,111.251864
citeseer,3264,4536,1.000000,0.003000,0.13,2.7794,8.517964e-04,13.744249
cora,2708,5278,1.000000,0.003000,0.12,3.8981,1.440000e-03,14.390924
verify_complete_7,7,21,1.000000,0.000000,0.00,6.0000,1.000000e+00,6.000000
verify_cycle_6,6,6,1.000000,0.000000,0.00,2.0000,4.000000e-01,2.000000
verify_known_structure,20,35,1.000000,0.000000,0.00,3.5000,1.842105e-01,5.117167
verify_path_5,5,4,1.000000,0.000000,0.00,1.6000,4.000000e-01,1.714286
verify_star_9,9,8,1.000000,0.000000,0.00,1.7778,2.222222e-01,1.777778
er_1000_dense,1000,9989,1.000000,0.000000,0.11,19.9780,1.999800e-02,21.001357
er_1000_sparse,1000,2532,1.000000,0.001000,0.05,5.0640,5.069069e-03,6.264008
er_100_dense,100,1013,1.000000,0.000000,0.01,20.2600,2.046465e-01,20.933306
er_100_sparse,100,233,1.000000,0.000000,0.00,4.6600,4.707071e-02,5.668288
er_10k_dense,10000,50275,1.000000,0.004000,0.69,10.0550,1.005601e-03,11.159344
er_10k_sparse,10000,24695,1.000000,0.005000,0.49,4.9390,4.939494e-04,6.166553
er_500_dense,500,6318,1.000000,0.000000,0.06,25.2720,5.064529e-02,26.219612
er_500_sparse,500,1222,1.000000,0.000000,0.02,4.8880,9.795591e-03,5.981593
er_5k_dense,5000,37326,1.000000,0.001000,0.44,14.9304,2.986677e-03,16.003098
er_5k_sparse,5000,12510,1.000000,0.004000,0.25,5.0040,1.001000e-03,6.163078
ba_1k_m3,1000,2991,1.000000,0.001000,0.05,5.9820,5.987988e-03,14.435829
ba_1k_m5,1000,4975,1.000000,0.000000,0.07,9.9500,9.959960e-03,20.435868
ws_1k_k10_p03,1000,5000,1.000000,0.001000,0.07,10.0000,1.001001e-02,10.269315
ws_1k_k6_p01,1000,3000,1.000000,0.003000,0.05,6.0000,6.006006e-03,6.173849
er_5k_dense,5000,37326,1.000000,0.003000,0.44,14.9304,2.986677e-03,16.003098
er_5k_sparse,5000,12510,1.000000,0.003000,0.25,5.0040,1.001000e-03,6.163078
er_10k_dense,10000,50275,1.000000,0.004000,0.69,10.0550,1.005601e-03,11.159344
er_10k_sparse,10000,24695,1.000000,0.005000,0.49,4.9390,4.939494e-04,6.166553
ba_5k_m3,5000,14991,1.000000,0.004000,0.27,5.9964,1.199520e-03,18.365660
ba_5k_m5,5000,24975,1.000000,0.004000,0.34,9.9900,1.998400e-03,25.768699
ba_10k_m3,10000,29991,1.000000,0.030000,0.53,5.9982,5.998800e-04,22.686741
ws_5k_k6_p01,5000,15000,1.000000,0.014000,0.27,6.0000,1.200240e-03,6.159412
cit-DBLP,12592,49621,1.000000,0.016000,0.76,7.8814,6.259513e-04,42.818686
cit-HepTh,27769,352285,1.000000,0.111000,3.54,25.3725,9.137330e-04,111.251864
citeseer,3264,4536,1.000000,0.003000,0.13,2.7794,8.517964e-04,13.744249
cora,2708,5278,1.000000,0.008000,0.12,3.8981,1.440000e-03,14.390924
verify_complete_7,7,21,1.000000,0.000000,0.00,6.0000,1.000000e+00,6.000000
verify_cycle_6,6,6,1.000000,0.000000,0.00,2.0000,4.000000e-01,2.000000
verify_known_structure,20,35,1.000000,0.000000,0.00,3.5000,1.842105e-01,5.117167
verify_path_5,5,4,1.000000,0.000000,0.00,1.6000,4.000000e-01,1.714286
verify_star_9,9,8,1.000000,0.000000,0.00,1.7778,2.222222e-01,1.777778
er_1000_dense,1000,10079,1.000000,0.001000,0.11,20.1580,2.017818e-02,21.193117
er_1000_sparse,1000,2457,1.000000,0.000000,0.05,4.9140,4.918919e-03,6.042819
er_100_dense,100,975,1.000000,0.000000,0.01,19.5000,1.969697e-01,20.338540
er_100_sparse,100,226,1.000000,0.000000,0.00,4.5200,4.565657e-02,5.648501
er_10k_dense,10000,49906,1.000000,0.005000,0.69,9.9812,9.982198e-04,11.045355
er_10k_sparse,10000,25268,1.000000,0.013000,0.50,5.0536,5.054105e-04,6.263841
er_500_dense,500,6063,1.000000,0.000000,0.06,24.2520,4.860120e-02,25.188290
er_500_sparse,500,1253,1.000000,0.001000,0.02,5.0120,1.004409e-02,6.193566
er_5k_dense,5000,37339,1.000000,0.008000,0.44,14.9356,2.987718e-03,15.992268
er_5k_sparse,5000,12383,1.000000,0.013000,0.25,4.9532,9.908382e-04,6.147509
ba_1k_m3,1000,2991,1.000000,0.001000,0.05,5.9820,5.987988e-03,14.197979
ba_1k_m5,1000,4975,1.000000,0.000000,0.07,9.9500,9.959960e-03,20.733195
ws_1k_k10_p03,1000,5000,1.000000,0.001000,0.07,10.0000,1.001001e-02,10.283543
ws_1k_k6_p01,1000,3000,1.000000,0.005000,0.05,6.0000,6.006006e-03,6.161995
er_5k_dense,5000,37339,1.000000,0.007000,0.44,14.9356,2.987718e-03,15.992268
er_5k_sparse,5000,12383,1.000000,0.012000,0.25,4.9532,9.908382e-04,6.147509
er_10k_dense,10000,49906,1.000000,0.007000,0.69,9.9812,9.982198e-04,11.045355
er_10k_sparse,10000,25268,1.000000,0.027000,0.50,5.0536,5.054105e-04,6.263841
ba_5k_m3,5000,14991,1.000000,0.012000,0.27,5.9964,1.199520e-03,18.030762
ba_5k_m5,5000,24975,1.000000,0.014000,0.34,9.9900,1.998400e-03,25.829122
ba_10k_m3,10000,29991,1.000000,0.041000,0.53,5.9982,5.998800e-04,21.453376
ws_5k_k6_p01,5000,15000,1.000000,0.052000,0.27,6.0000,1.200240e-03,6.157595
cit-DBLP,12592,49621,1.000000,0.016000,0.76,7.8814,6.259513e-04,42.818686
cit-HepTh,27769,352285,1.000000,0.167000,3.54,25.3725,9.137330e-04,111.251864
citeseer,3264,4536,1.000000,0.008000,0.13,2.7794,8.517964e-04,13.744249
cora,2708,5278,1.000000,0.010000,0.12,3.8981,1.440000e-03,14.390924
verify_complete_7,7,21,1.000000,0.000000,0.00,6.0000,1.000000e+00,6.000000
verify_cycle_6,6,6,1.000000,0.000000,0.00,2.0000,4.000000e-01,2.000000
verify_known_structure,20,35,1.000000,0.000000,0.00,3.5000,1.842105e-01,5.117167
verify_path_5,5,4,1.000000,0.000000,0.00,1.6000,4.000000e-01,1.714286
verify_star_9,9,8,1.000000,0.000000,0.00,1.7778,2.222222e-01,1.777778
er_1000_dense,1000,9981,1.000000,0.001000,0.11,19.9620,1.998198e-02,20.988127
er_1000_sparse,1000,2516,1.000000,0.000000,0.05,5.0320,5.037037e-03,6.222730
er_100_dense,100,1038,1.000000,0.000000,0.01,20.7600,2.096970e-01,21.457349
er_100_sparse,100,236,1.000000,0.000000,0.00,4.7200,4.767677e-02,5.744844
er_10k_dense,10000,49791,1.000000,0.014000,0.69,9.9582,9.959196e-04,11.066685
er_10k_sparse,10000,25140,1.000000,0.018000,0.50,5.0280,5.028503e-04,6.259189
er_500_dense,500,6190,1.000000,0.000000,0.06,24.7600,4.961924e-02,25.704402
er_500_sparse,500,1338,1.000000,0.000000,0.03,5.3520,1.072545e-02,6.478921
er_5k_dense,5000,37244,1.000000,0.009000,0.44,14.8976,2.980116e-03,15.981333
er_5k_sparse,5000,12675,1.000000,0.015000,0.25,5.0700,1.014203e-03,6.300581
ba_1k_m3,1000,2991,1.000000,0.002000,0.05,5.9820,5.987988e-03,14.545359
ba_1k_m5,1000,4975,1.000000,0.001000,0.07,9.9500,9.959960e-03,19.341403
ws_1k_k10_p03,1000,5000,1.000000,0.002000,0.07,10.0000,1.001001e-02,10.284546
ws_1k_k6_p01,1000,3000,1.000000,0.007000,0.05,6.0000,6.006006e-03,6.154371
er_5k_dense,5000,37244,1.000000,0.005000,0.44,14.8976,2.980116e-03,15.981333
er_5k_sparse,5000,12675,1.000000,0.008000,0.25,5.0700,1.014203e-03,6.300581
er_10k_dense,10000,49791,1.000000,0.012000,0.69,9.9582,9.959196e-04,11.066685
er_10k_sparse,10000,25140,1.000000,0.017000,0.50,5.0280,5.028503e-04,6.259189
ba_5k_m3,5000,14991,1.000000,0.010000,0.27,5.9964,1.199520e-03,16.376979
ba_5k_m5,5000,24975,1.000000,0.007000,0.34,9.9900,1.998400e-03,25.696934
ba_10k_m3,10000,29991,1.000000,0.033000,0.53,5.9982,5.998800e-04,21.565192
ws_5k_k6_p01,5000,15000,1.000000,0.040000,0.27,6.0000,1.200240e-03,6.147364
cit-DBLP,12592,49621,1.000000,0.023000,0.76,7.8814,6.259513e-04,42.818686
cit-HepTh,27769,352285,1.000000,0.172000,3.54,25.3725,9.137330e-04,111.251864
citeseer,3264,4536,1.000000,0.006000,0.13,2.7794,8.517964e-04,13.744249
cora,2708,5278,1.000000,0.008000,0.12,3.8981,1.440000e-03,14.390924
